Field,Layer,Type,Required,Definition,Validation
schemaVersion,public,"""string""",TRUE,schemaVersion,"{""const"": ""4.0.0""}"
dealId,public,"""string""",TRUE,dealId,"{""pattern"": ""^[A-Z0-9][A-Z0-9-]{5,79}$""}"
sourceVersion,public,"""string""",TRUE,sourceVersion,"{""minLength"": 1, ""maxLength"": 160}"
termsVersion,public,"""string""",TRUE,termsVersion,"{""minLength"": 1, ""maxLength"": 80}"
slug,public,"""string""",TRUE,slug,"{""pattern"": ""^[a-z0-9]+(?:-[a-z0-9]+)*$"", ""maxLength"": 160}"
title,public,"""string""",TRUE,title,"{""minLength"": 3, ""maxLength"": 180, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}"
shortDescription,public,"""string""",TRUE,shortDescription,"{""minLength"": 3, ""maxLength"": 600, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}"
brand,public,"""string""",FALSE,brand,"{""minLength"": 1, ""maxLength"": 100, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}"
category,public,"""string""",TRUE,category,"{""enum"": [""electronics"", ""apparel"", ""grocery"", ""home-kitchen"", ""beauty-personal-care"", ""health"", ""sports"", ""automotive"", ""baby"", ""office"", ""industrial"", ""books"", ""pets"", ""toys-seasonal"", ""trading-cards"", ""beverages"", ""candy-snacks"", ""mixed-truckload"", ""other""]}"
status,public,"""string""",TRUE,status,"{""enum"": [""available"", ""limited"", ""confirm-availability""]}"
availableToSell,public,"""integer""",TRUE,available to Sell,"{""minimum"": 1}"
casesAvailable,public,"""integer""",FALSE,casesAvailable,"{""minimum"": 1}"
unitsPerCase,public,"""integer""",FALSE,unitsPerCase,"{""minimum"": 1}"
moqUnits,public,"""integer""",TRUE,moqUnits,"{""minimum"": 1}"
moqCases,public,"""integer""",FALSE,moqCases,"{""minimum"": 1}"
pricingMode,public,"""string""",TRUE,pricingMode,"{""enum"": [""public"", ""rfq""]}"
publicUnitPrice,public,"""number""",FALSE,publicUnitPrice,"{""exclusiveMinimum"": 0}"
publicCasePrice,public,"""number""",FALSE,publicCasePrice,"{""exclusiveMinimum"": 0}"
publicLotPrice,public,"""number""",FALSE,publicLotPrice,"{""exclusiveMinimum"": 0}"
currency,public,"""string""",TRUE,currency,"{""const"": ""USD""}"
condition,public,"""string""",TRUE,condition,"{""enum"": [""new"", ""new-retail-box"", ""shelf-pull"", ""overstock"", ""closeout"", ""mixed"", ""other""]}"
upc,public,"""string""",FALSE,upc,"{""pattern"": ""^(?:[0-9]{8}|[0-9]{12}|[0-9]{13}|[0-9]{14})$""}"
bestBy,public,"""string""",FALSE,bestBy,"{""format"": ""date""}"
fob,public,"""string""",TRUE,fob,"{""minLength"": 2, ""maxLength"": 120, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}"
freightTerms,public,"""string""",TRUE,freightTerms,"{""enum"": [""freight-extra"", ""freight-included"", ""pickup-only"", ""quote-required""]}"
inspectionTerms,public,"""string""",TRUE,inspectionTerms,"{""minLength"": 3, ""maxLength"": 500, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}"
returnTerms,public,"""string""",TRUE,returnTerms,"{""minLength"": 3, ""maxLength"": 500, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}"
imageUrls,public,"""array""",TRUE,imageUrls,"{""minItems"": 1, ""maxItems"": 12, ""uniqueItems"": true, ""items"": {""type"": ""string"", ""format"": ""uri"", ""pattern"": ""^https://[^\\s]+$""}}"
specSheetUrl,public,"""string""",FALSE,specSheetUrl,"{""format"": ""uri"", ""pattern"": ""^https://[^\\s]+$""}"
rfqEnabled,public,"""boolean""",TRUE,rfqEnabled,"{""const"": true}"
lastSourceVerifiedAt,public,"""string""",TRUE,lastSourceVerified at ,"{""format"": ""date-time""}"
lastAvailabilityConfirmedAt,public,"""string""",TRUE,lastAvailabilityConfirmed at ,"{""format"": ""date-time""}"
availabilityExpiresAt,public,"""string""",TRUE,availabilityExpires at ,"{""format"": ""date-time""}"
publishedAt,public,"""string""",TRUE,published at ,"{""format"": ""date-time""}"
seo,public,"""object""",FALSE,seo,"{""additionalProperties"": false, ""properties"": {""metaTitle"": {""type"": ""string"", ""minLength"": 1, ""maxLength"": 70, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}, ""metaDescription"": {""type"": ""string"", ""minLength"": 1, ""maxLength"": 180, ""pattern"": ""^[^<>\\u0000-\\u001F\\u007F]+$""}}}"
